fecha,año,mes,dia_año,estacion_seca,grid_lat,grid_lon,temperatura_max,temperatura_min,temperatura_media,humedad_relativa,viento_max,precipitacion_dia,precipitacion_7d,precipitacion_14d,precipitacion_30d,incendio
2021-10-06,2021,10,279,0,3.37,-76.49,24.3,18.2,20.5,90.0,7.6,31.9,0.0,0.0,0.0,0
2021-10-08,2021,10,281,0,3.48,-76.465,26.3,18.4,21.6,89.0,7.9,28.6,0.0,0.0,0.0,1
2021-10-15,2021,10,288,0,3.385,-76.545,24.8,18.8,21.4,85.0,11.4,6.0,0.0,0.0,0.0,0
2021-10-25,2021,10,298,0,3.495,-76.505,25.8,18.7,20.8,90.0,8.2,16.0,0.0,0.0,0.0,0
2021-11-05,2021,11,309,0,3.52,-76.595,18.2,13.4,15.3,94.0,10.0,15.8,0.0,0.0,0.0,0
2021-11-06,2021,11,310,0,3.53,-76.64,21.1,14.3,17.5,92.0,11.6,2.8,0.0,0.0,0.0,0
2021-11-07,2021,11,311,0,3.54,-76.59,18.2,11.6,14.3,93.0,12.7,31.6,0.0,0.0,0.0,0
2021-11-16,2021,11,320,0,3.335,-76.64,20.7,15.2,17.1,92.0,10.9,17.5,0.0,0.0,0.0,0
2021-11-18,2021,11,322,0,3.475,-76.56,24.3,17.7,19.7,89.0,6.1,4.0,0.0,0.0,0.0,0
2021-11-28,2021,11,332,0,3.525,-76.535,25.0,17.8,20.7,86.0,9.4,4.9,0.0,0.0,0.0,0
2021-12-02,2021,12,336,1,3.395,-76.58,23.8,15.0,19.4,86.0,6.6,1.0,0.0,0.0,0.0,0
2021-12-14,2021,12,348,1,3.505,-76.595,19.1,14.9,16.4,95.0,9.0,21.1,0.0,0.0,0.0,0
2021-12-15,2021,12,349,1,3.44,-76.555,23.7,15.5,18.9,86.0,6.8,3.4,0.0,0.0,0.0,0
2021-12-21,2021,12,355,1,3.455,-76.525,25.2,17.9,20.8,88.0,5.8,27.8,0.0,0.0,0.0,0
2021-12-29,2021,12,363,1,3.365,-76.535,24.0,17.9,20.6,87.0,6.6,4.4,0.0,0.0,0.0,0
2021-12-31,2021,12,365,1,3.51,-76.495,26.3,18.4,21.4,87.0,9.3,3.3,0.0,0.0,0.0,0
2022-01-13,2022,1,13,1,3.54,-76.545,23.3,17.5,19.6,88.0,7.9,14.4,0.0,0.0,0.0,0
2022-01-17,2022,1,17,1,3.32,-76.59,21.3,13.6,17.1,85.0,6.5,1.0,0.0,0.0,0.0,0
2022-01-18,2022,1,18,1,3.36,-76.64,19.9,10.9,15.2,84.0,10.8,5.6,0.0,0.0,0.0,0
2022-01-22,2022,1,22,1,3.465,-76.53,24.1,17.5,20.4,90.0,7.7,11.1,0.0,0.0,0.0,0
2022-01-29,2022,1,29,1,3.455,-76.555,24.9,16.8,20.0,86.0,6.8,3.0,0.0,0.0,0.0,0
2022-02-12,2022,2,43,1,3.41,-76.59,24.0,15.8,19.2,84.0,6.3,5.2,0.0,0.0,0.0,0
2022-02-13,2022,2,44,1,3.525,-76.45,24.5,17.3,20.6,87.0,13.4,1.9,0.0,0.0,0.0,0
2022-02-13,2022,2,44,1,3.385,-76.645,13.3,11.5,12.2,98.0,7.0,29.9,0.0,0.0,0.0,0
2022-02-16,2022,2,47,1,3.455,-76.56,25.4,16.8,20.5,88.0,8.0,17.0,0.0,0.0,0.0,0
2022-02-17,2022,2,48,1,3.415,-76.625,19.7,14.3,16.3,96.0,7.2,5.8,0.0,0.0,0.0,0
2022-02-17,2022,2,48,1,3.545,-76.565,20.7,15.1,17.3,92.0,13.3,0.4,0.0,0.0,0.0,0
2022-03-05,2022,3,64,0,3.475,-76.585,22.6,16.4,18.8,93.0,6.2,44.1,0.0,0.0,0.0,0
2022-03-12,2022,3,71,0,3.355,-76.645,18.6,11.5,15.1,86.0,9.0,25.1,0.0,0.0,0.0,0
2022-03-13,2022,3,72,0,3.365,-76.605,21.4,14.7,18.4,83.0,9.7,9.0,0.0,0.0,0.0,0
2022-03-15,2022,3,74,0,3.415,-76.65,16.8,12.5,13.8,97.0,7.9,17.4,0.0,0.0,0.0,0
2022-03-15,2022,3,74,0,3.355,-76.465,23.4,17.6,19.9,88.0,9.1,20.3,23.7,176.29999999999998,391.8,0
2022-03-19,2022,3,78,0,3.545,-76.465,24.1,16.9,20.1,87.0,13.2,2.8,0.0,0.0,0.0,0
2022-03-24,2022,3,83,0,3.32,-76.65,18.1,11.9,14.8,96.0,9.3,24.2,0.0,0.0,0.0,0
2022-04-04,2022,4,94,0,3.49,-76.6,22.9,15.9,18.8,88.0,6.0,3.0,0.0,0.0,0.0,0
2022-04-05,2022,4,95,0,3.365,-76.585,23.6,16.2,19.6,82.0,6.5,0.1,0.0,0.0,0.0,0
2022-04-08,2022,4,98,0,3.37,-76.585,22.9,17.3,19.1,91.0,5.7,20.0,0.0,0.0,0.0,0
2022-04-09,2022,4,99,0,3.34,-76.45,23.8,17.9,20.8,88.0,7.6,25.6,0.0,0.0,0.0,0
2022-04-22,2022,4,112,0,3.365,-76.61,18.6,14.2,15.8,94.0,7.6,86.4,358.5,504.9,1020.4,0
2022-04-23,2022,4,113,0,3.325,-76.605,21.7,15.3,17.5,93.0,8.4,48.9,0.0,0.0,0.0,0
2022-05-30,2022,5,150,0,3.505,-76.495,22.4,17.5,19.7,92.0,8.7,50.2,0.0,0.0,0.0,0
2022-06-01,2022,6,152,1,3.475,-76.53,24.6,16.8,20.4,87.0,10.9,6.3,0.0,0.0,0.0,0
2022-06-05,2022,6,156,1,3.34,-76.635,19.6,13.0,15.9,85.0,10.5,25.0,0.0,0.0,0.0,0
2022-06-06,2022,6,157,1,3.435,-76.46,25.3,17.2,20.7,89.0,7.1,16.6,0.0,0.0,0.0,0
2022-06-08,2022,6,159,1,3.475,-76.62,18.2,11.1,14.7,92.0,10.8,7.5,0.0,0.0,0.0,0
2022-07-06,2022,7,187,1,3.375,-76.47500000000001,24.8,16.4,20.5,87.0,10.0,19.3,0.0,0.0,0.0,1
2022-07-06,2022,7,187,1,3.45,-76.51,24.8,16.6,20.6,89.0,10.4,30.0,0.0,0.0,0.0,0
2022-07-08,2022,7,189,1,3.54,-76.465,25.5,16.8,19.9,90.0,17.3,4.1,0.0,0.0,0.0,0
2022-07-10,2022,7,191,1,3.48,-76.53,23.7,16.3,19.6,91.0,8.7,30.6,0.0,0.0,0.0,0
2022-07-12,2022,7,193,1,3.515,-76.485,24.9,17.8,20.6,91.0,9.6,18.6,0.0,0.0,0.0,0
2022-07-17,2022,7,198,1,3.4050000000000002,-76.525,26.1,17.1,20.8,85.0,7.2,21.3,0.0,0.0,0.0,1
2022-07-17,2022,7,198,1,3.4,-76.525,26.1,17.1,20.8,85.0,7.2,21.3,0.0,0.0,0.0,1
2022-07-21,2022,7,202,1,3.49,-76.605,20.6,14.0,17.1,87.0,6.4,2.3,24.9,85.10000000000001,188.49999999999997,0
2022-07-21,2022,7,202,1,3.335,-76.47,22.8,16.7,19.7,90.0,6.1,51.0,0.0,0.0,0.0,0
2022-07-25,2022,7,206,1,3.455,-76.485,22.9,17.8,19.6,92.0,10.2,22.7,0.0,0.0,0.0,0
2022-08-04,2022,8,216,1,3.445,-76.555,25.1,17.3,20.1,90.0,4.6,8.2,0.0,0.0,0.0,0
2022-08-09,2022,8,221,1,3.435,-76.475,24.5,17.5,20.3,88.0,9.2,43.8,0.0,0.0,0.0,0
2022-08-10,2022,8,222,1,3.48,-76.56,24.1,15.1,19.3,84.0,10.1,1.0,0.0,0.0,0.0,0
2022-08-11,2022,8,223,1,3.495,-76.595,20.8,13.3,16.7,90.0,8.9,5.4,0.0,0.0,0.0,0
2022-08-18,2022,8,230,1,3.425,-76.515,25.7,17.4,20.8,85.0,11.4,17.6,0.0,0.0,0.0,0
2022-08-19,2022,8,231,1,3.475,-76.5,26.4,17.6,21.2,88.0,10.4,2.8,0.0,0.0,0.0,0
